iso_code,continent,location,date,new_cases
PAN,North America,Panama,12/31/21,4877
PAN,North America,Panama,1/1/22,1888
PAN,North America,Panama,1/2/22,977
PAN,North America,Panama,1/3/22,1363
PAN,North America,Panama,1/4/22,0
PAN,North America,Panama,1/5/22,3259
PAN,North America,Panama,1/6/22,8995
PAN,North America,Panama,1/7/22,5043
PAN,North America,Panama,1/8/22,4804
PAN,North America,Panama,1/9/22,4066
PAN,North America,Panama,1/10/22,3139
PAN,North America,Panama,1/11/22,4105
PAN,North America,Panama,1/12/22,6513
PAN,North America,Panama,1/13/22,0
PAN,North America,Panama,1/14/22,18604
PAN,North America,Panama,1/15/22,8902
PAN,North America,Panama,1/16/22,7278
PAN,North America,Panama,1/17/22,5468
PAN,North America,Panama,1/18/22,11519
PAN,North America,Panama,1/19/22,10763
PAN,North America,Panama,1/20/22,12351
PAN,North America,Panama,1/21/22,11933
PAN,North America,Panama,1/22/22,0
PAN,North America,Panama,1/23/22,17793
PAN,North America,Panama,1/24/22,0
PAN,North America,Panama,1/25/22,5455
PAN,North America,Panama,1/26/22,19722
PAN,North America,Panama,1/27/22,8268
PAN,North America,Panama,1/28/22,7502
PAN,North America,Panama,1/29/22,7004
PAN,North America,Panama,1/30/22,4490
PAN,North America,Panama,1/31/22,0
PAN,North America,Panama,2/1/22,8756
PAN,North America,Panama,2/2/22,0
PAN,North America,Panama,2/3/22,11291
PAN,North America,Panama,2/4/22,4308
PAN,North America,Panama,2/5/22,0
PAN,North America,Panama,2/6/22,5934
PAN,North America,Panama,2/7/22,0
PAN,North America,Panama,2/8/22,4794
PAN,North America,Panama,2/9/22,3028
PAN,North America,Panama,2/10/22,2424
PAN,North America,Panama,2/11/22,2111
PAN,North America,Panama,2/12/22,1881
PAN,North America,Panama,2/13/22,1203
PAN,North America,Panama,2/14/22,0
PAN,North America,Panama,2/15/22,2513
PAN,North America,Panama,2/16/22,1328
PAN,North America,Panama,2/17/22,1221
PAN,North America,Panama,2/18/22,1219
PAN,North America,Panama,2/19/22,0
PAN,North America,Panama,2/20/22,1625
PAN,North America,Panama,2/21/22,0
PAN,North America,Panama,2/22/22,1413
PAN,North America,Panama,2/23/22,734
PAN,North America,Panama,2/24/22,787
PAN,North America,Panama,2/25/22,668
PAN,North America,Panama,2/26/22,543
PAN,North America,Panama,2/27/22,357
PAN,North America,Panama,2/28/22,236
PAN,North America,Panama,3/1/22,355
